Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,source,Note
NA,Corangamite,NA,1918,291,"Gibson, William",Victorian Farmers' Union,14096,3152,56.29,-4.1,,NA,NA
NA,Corangamite,NA,1918,291,"Scullin, James",Labor,10944,-3152,43.71,4.1,,NA,NA
NA,Flinders,NA,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing 2cp from by-election
NA,Grampians,NA,1917,325,"Jowett, Edmund",Nationalist,11232,1967,54.8,-2.2,Elected,NA,NA
NA,Grampians,NA,1917,325,"Russell, David",Labor,9265,-1967,45.2,2.2,,NA,NA
NA,Darwin,NA,1917,304,"Hurst, James",Labor,5285,-1380,44.23,3,,NA,NA
NA,Darwin,NA,1917,304,"SPENCE, Hon",Nationalist,6665,1380,55.77,-3,Elected,NA,NA
NA,Dalley,NA,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing 2cp from by-election
NA,Wide Bay,NA,1915,392,"Corser, Edward",Lib,14027,86,50.15,0,Elected,NA,NA
NA,Wide Bay,NA,1915,392,"Thompson, Andrew",Labor,13941,-86,49.85,-14.5,,NA,NA
NA,Grampians,NA,1915,324,"McDougall, John",Labor,11522,-594,48.74,-1.6,,NA,NA
NA,Grampians,NA,1915,324,"SALMON, Hon",Lib,12116,594,51.26,1.6,Elected,NA,NA
NA,Bendigo,NA,1915,258,"Hampson, Alfred",Labor,12188,427,50.89,-4.2,Elected,NA,NA
NA,Bendigo,NA,1915,258,"Richards, William",Lib,11761,-427,49.11,4.2,,NA,NA
NA,Werriwa,NA,1912,387,"BENNETT, Benjamin",Labor,10884,338,50.79,-3.8,Elected,NA,NA
NA,Werriwa,NA,1912,387,"Conroy, Hon",Lib,10546,-338,49.21,3.8,,NA,NA
NA,North Sydney,NA,1911,361,"O'Brien, Stephen",Labor,4437,-7250,27.52,-6.1,,NA,NA
NA,North Sydney,NA,1911,361,"Ryrie, Granville",Lib,11687,7250,72.48,7.3,Elected,NA,NA
NA,Boothby,NA,1911,282,"Gordon, David",Lib,10656,2648,57.09,0,,NA,NA
NA,Boothby,NA,1911,282,"Jelley, James",Labor,8008,-2648,42.91,-20.9,Elected,NA,NA
NA,Batman,NA,1911,256,"Brennan, Frank",Labor,9385,2453,57.52,-6.1,Elected,NA,NA
NA,Batman,NA,1911,256,"O'Neill, Frederick",Lib,6932,-2453,42.48,6.1,,NA,NA
NA,Kooyong,NA,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing 2cp from by-election
NA,Wakefield,NA,1909,379,"Foster, Richard",Lib,8120,1331,54.46,0,Elected,NA,NA
NA,Wakefield,NA,1909,379,"Vaughan, John",Labor,6789,-1331,45.54,9.3,,NA,NA
NA,Adelaide,NA,1908,246,"McLachlan, Alexander",Independent,4887,-234,48.83,0,,NA,NA
NA,Adelaide,NA,1908,246,"Roberts, Ernest",Labor,5121,234,51.17,0,Elected,NA,NA
NA,Echuca,NA,1907,309,"Kennedy, Thomas",Protectionist,10481,-1137,47.43,-2.5,,NA,NA
NA,Echuca,NA,1907,309,"Palmer, Albert",Anti-Socialist,11618,1137,52.57,2.5,Elected,NA,NA
NA,Wilmot,NA,1904,394,"Cameron, Donald",Free Trade,2368,185,52.03,-2.9,Elected,NA,NA
NA,Wilmot,NA,1904,394,"Cheek, John",Protectionist,2183,-185,47.97,2.9,,NA,NA
NA,Riverina,NA,1904,371,"Blackwood, Robert",Free Trade,5184,-363,48.31,-1.7,Elected,NA,NA
NA,Riverina,NA,1904,371,"CHANTER, Hon",Protectionist,5547,363,51.69,1.7,,NA,NA
NA,Melbourne,NA,1904,356,"McEacharn, Sir",Protectionist,7808,-859,47.39,-2.8,,NA,NA
NA,Melbourne,NA,1904,356,"MALONEY, Dr",Lab,8667,859,52.61,2.8,Elected,NA,NA
NA,East Sydney,NA,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing 2cp from by-election
NA,Tasmania,NA,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing 2cp from by-election
NA,Darling Downs,NA,1901,306,"Bell, Joshua",Independent,2687,-1845,37.22,0,,NA,NA
NA,Darling Downs,NA,1901,306,"Groom, Littleton",Independent,4532,1845,62.78,-15.7,Elected,NA,NA
